paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
La Croix,1883,0,0,0,1
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,4
La Croix,1883,0,0,0,3
La Croix,1883,1,0,0,2
La Croix,1883,0,0,0,0
La Croix,1883,0,0,0,2
La Croix,1883,1,0,0,2
La Croix,1883,4,0,1,0
La Croix,1883,2,0,1,1
La Croix,1883,0,0,0,1
La Croix,1883,1,0,0,0
La Croix,1883,2,0,0,4
La Croix,1883,2,0,1,5
La Croix,1883,0,0,0,0
La Croix,1883,0,0,1,4
La Croix,1883,0,0,0,0
La Croix,1883,3,0,4,1
La Croix,1883,0,0,0,0
La Croix,1883,2,0,0,3
La Croix,1883,0,0,0,0
La Croix,1883,2,0,0,4
La Croix,1883,0,0,0,2
La Croix,1883,3,0,1,3
La Croix,1883,0,0,0,0
La Croix,1883,13,0,2,1
La Croix,1883,1,0,1,2
La Croix,1883,5,0,1,6
La Croix,1883,1,0,0,2
La Croix,1884,1,0,0,2
La Croix,1884,1,0,0,2
La Croix,1884,0,0,0,1
La Croix,1884,0,0,1,0
La Croix,1884,0,0,1,6
La Croix,1884,1,0,0,2
La Croix,1884,1,0,1,4
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,3
La Croix,1884,0,0,0,0
La Croix,1884,3,0,0,1
La Croix,1884,11,0,3,3
La Croix,1884,0,0,0,0
La Croix,1884,0,0,1,3
La Croix,1884,0,0,0,0
La Croix,1884,0,0,3,5
La Croix,1884,1,0,0,1
La Croix,1884,0,0,0,1
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,1
La Croix,1884,0,0,5,1
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,0,0,1,1
La Croix,1884,2,0,0,2
La Croix,1884,0,0,0,5
La Croix,1884,0,0,1,0
La Croix,1884,3,2,0,0
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,0,0,1,1
La Croix,1884,0,0,0,0
La Croix,1884,0,0,1,1
La Croix,1884,0,0,2,2
La Croix,1884,0,0,1,0
La Croix,1884,0,0,1,1
La Croix,1884,0,0,0,4
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,3,0,0,1
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,7
La Croix,1884,0,0,0,0
La Croix,1884,0,0,5,1
La Croix,1884,0,0,0,0
La Croix,1884,2,0,0,1
La Croix,1884,0,0,0,1
La Croix,1884,1,0,1,0
La Croix,1884,0,0,0,0
La Croix,1884,2,0,3,10
La Croix,1884,4,0,1,4
La Croix,1884,0,0,0,0
La Croix,1884,10,0,4,2
La Croix,1884,0,0,0,3
La Croix,1884,0,0,0,0
La Croix,1884,3,0,0,1
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,0,0,1,0
La Croix,1884,1,0,0,2
La Croix,1884,0,0,0,0
La Croix,1884,2,0,0,4
La Croix,1884,9,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,2,0,3,3
La Croix,1884,0,0,1,2
La Croix,1884,0,0,0,2
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,1
La Croix,1884,0,0,0,1
La Croix,1884,0,0,0,0
La Croix,1884,2,0,0,4
La Croix,1884,2,0,2,0
La Croix,1884,6,0,0,4
La Croix,1884,1,0,0,3
La Croix,1884,7,0,3,2
La Croix,1884,1,0,0,2
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,2
La Croix,1884,0,0,0,1
La Croix,1884,2,0,1,1
La Croix,1884,0,0,0,2
La Croix,1884,0,0,10,6
La Croix,1884,0,0,0,0
La Croix,1884,3,0,0,0
La Croix,1884,2,0,4,1
La Croix,1884,2,0,1,3
La Croix,1884,0,0,1,2
La Croix,1884,0,0,0,2
La Croix,1884,0,0,1,2
La Croix,1884,0,0,1,3
La Croix,1884,2,0,1,2
La Croix,1884,0,0,0,5
La Croix,1884,0,0,0,0
La Croix,1884,0,0,7,1
La Croix,1884,1,0,0,3
La Croix,1884,0,0,0,5
La Croix,1884,5,0,2,3
La Croix,1884,1,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,8,0,0,2
La Croix,1884,1,0,0,3
La Croix,1884,0,0,0,0
La Croix,1884,1,0,2,2
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,2
La Croix,1884,1,0,1,3
La Croix,1884,1,0,0,1
La Croix,1884,1,0,0,1
La Croix,1884,0,0,0,0
La Croix,1884,2,0,0,1
La Croix,1884,0,0,0,1
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,4
La Croix,1884,0,0,0,0
La Croix,1884,0,0,2,1
La Croix,1884,0,0,0,0
La Croix,1884,4,0,0,5
La Croix,1884,1,0,2,6
La Croix,1884,0,0,0,1
La Croix,1884,2,0,1,1
La Croix,1884,1,0,0,0
La Croix,1884,2,0,0,2
La Croix,1884,0,0,0,0
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,0
La Croix,1884,0,0,0,4
La Croix,1884,0,0,0,0
La Croix,1884,0,0,2,1
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,0
La Croix,1884,2,0,0,4
La Croix,1884,0,0,0,0
La Croix,1884,1,0,0,1
La Croix,1884,0,0,12,0
La Croix,1884,10,0,3,2
La Croix,1884,6,0,0,0
La Croix,1884,1,0,1,3
La Croix,1884,1,0,0,2
La Croix,1884,0,0,17,1
La Croix,1884,2,0,1,1
La Croix,1884,1,0,3,5
La Croix,1884,3,0,0,3
La Croix,1884,0,0,0,0
La Croix,1884,2,0,0,2
