paper,year,anarchist_hits,communis_hits,socialis_hits,revolution_hits
Le Populaire,1918,1,0,40,2
Le Populaire,1918,0,0,32,8
Le Populaire,1918,0,0,49,5
Le Populaire,1918,1,0,37,12
Le Populaire,1918,1,0,56,8
Le Populaire,1918,0,0,35,6
Le Populaire,1918,0,0,32,3
Le Populaire,1918,0,1,39,4
Le Populaire,1918,0,0,41,3
Le Populaire,1918,1,0,32,2
Le Populaire,1918,1,1,31,10
Le Populaire,1918,0,2,43,5
Le Populaire,1918,1,0,46,7
Le Populaire,1918,1,0,43,4
Le Populaire,1918,0,0,86,21
Le Populaire,1918,0,0,39,7
Le Populaire,1918,0,0,26,12
Le Populaire,1918,0,0,61,12
Le Populaire,1918,0,0,38,1
Le Populaire,1918,0,0,57,8
Le Populaire,1918,1,0,29,5
Le Populaire,1918,2,0,50,5
Le Populaire,1918,0,2,41,4
Le Populaire,1918,2,2,68,14
Le Populaire,1918,3,0,63,10
Le Populaire,1918,0,1,34,6
Le Populaire,1918,0,0,60,1
Le Populaire,1918,2,0,47,4
Le Populaire,1918,0,0,39,4
Le Populaire,1918,0,0,31,5
Le Populaire,1918,1,0,41,12
Le Populaire,1918,0,0,53,0
Le Populaire,1918,1,0,44,2
Le Populaire,1918,2,0,43,12
Le Populaire,1918,0,0,52,22
Le Populaire,1918,0,0,47,17
Le Populaire,1918,0,0,44,6
Le Populaire,1918,0,0,39,2
Le Populaire,1918,1,0,36,4
Le Populaire,1918,0,0,49,1
Le Populaire,1918,0,0,46,1
Le Populaire,1918,0,0,37,0
Le Populaire,1918,0,1,41,3
Le Populaire,1918,0,0,40,5
Le Populaire,1918,0,0,51,13
Le Populaire,1918,1,0,46,25
Le Populaire,1918,4,0,54,7
Le Populaire,1918,0,0,48,9
Le Populaire,1918,0,0,40,4
Le Populaire,1918,0,0,61,9
Le Populaire,1918,0,0,35,8
Le Populaire,1918,0,0,41,1
Le Populaire,1918,0,0,42,9
Le Populaire,1918,1,1,37,6
Le Populaire,1918,0,0,43,9
Le Populaire,1918,1,0,49,3
Le Populaire,1918,0,0,40,0
Le Populaire,1918,1,1,54,33
Le Populaire,1918,0,0,45,2
Le Populaire,1918,0,0,36,6
Le Populaire,1918,0,0,40,3
Le Populaire,1918,1,0,52,14
Le Populaire,1918,0,0,37,20
Le Populaire,1918,0,0,50,8
Le Populaire,1918,0,0,39,8
Le Populaire,1918,0,0,23,1
Le Populaire,1918,1,0,30,3
Le Populaire,1918,1,1,31,1
Le Populaire,1918,1,0,30,0
Le Populaire,1918,1,1,46,14
Le Populaire,1918,0,0,37,2
Le Populaire,1918,0,0,30,5
Le Populaire,1918,0,0,51,4
Le Populaire,1918,0,1,29,12
Le Populaire,1918,1,0,48,5
Le Populaire,1918,4,1,39,26
Le Populaire,1918,0,0,40,2
Le Populaire,1918,1,0,29,5
Le Populaire,1918,1,0,64,5
Le Populaire,1918,1,2,56,8
Le Populaire,1918,0,0,29,4
Le Populaire,1918,1,0,44,15
Le Populaire,1918,0,0,26,2
Le Populaire,1918,0,0,44,6
Le Populaire,1918,0,0,41,3
Le Populaire,1918,0,0,40,0
Le Populaire,1918,1,0,30,2
Le Populaire,1918,0,1,29,7
Le Populaire,1918,0,0,45,4
Le Populaire,1918,1,0,49,7
Le Populaire,1918,1,0,34,8
Le Populaire,1918,0,0,27,2
Le Populaire,1918,0,1,49,18
Le Populaire,1918,2,0,40,14
Le Populaire,1918,1,0,30,1
Le Populaire,1918,0,0,30,7
Le Populaire,1918,3,0,39,11
Le Populaire,1918,1,0,51,21
Le Populaire,1918,0,0,38,2
Le Populaire,1918,0,0,33,9
Le Populaire,1918,0,2,39,21
Le Populaire,1918,0,0,37,8
Le Populaire,1918,0,0,33,17
Le Populaire,1918,1,0,38,2
Le Populaire,1918,0,0,52,23
Le Populaire,1918,0,0,36,7
Le Populaire,1919,0,0,31,9
Le Populaire,1919,0,1,56,8
Le Populaire,1919,0,2,35,6
Le Populaire,1919,1,0,31,10
Le Populaire,1919,2,2,28,5
Le Populaire,1919,0,1,51,4
Le Populaire,1919,0,1,45,8
Le Populaire,1919,0,2,49,11
Le Populaire,1919,0,3,36,5
Le Populaire,1919,1,2,42,7
Le Populaire,1919,0,0,48,6
Le Populaire,1919,0,3,29,18
Le Populaire,1919,2,0,31,7
Le Populaire,1919,1,2,54,17
Le Populaire,1919,0,1,111,2
Le Populaire,1919,2,4,45,18
Le Populaire,1919,0,1,57,25
Le Populaire,1919,0,0,30,12
Le Populaire,1919,0,1,45,11
Le Populaire,1919,0,1,46,11
Le Populaire,1919,0,1,47,11
Le Populaire,1919,2,1,56,32
Le Populaire,1919,0,4,58,14
Le Populaire,1919,0,4,46,9
Le Populaire,1919,2,3,48,9
Le Populaire,1919,0,1,47,8
Le Populaire,1919,0,3,36,6
Le Populaire,1919,2,0,41,14
Le Populaire,1919,0,1,30,11
Le Populaire,1919,1,0,28,5
Le Populaire,1919,0,2,62,11
Le Populaire,1919,0,0,33,7
Le Populaire,1919,0,1,47,5
Le Populaire,1919,0,1,34,15
Le Populaire,1919,0,2,54,36
Le Populaire,1919,0,3,33,14
Le Populaire,1919,2,0,39,16
Le Populaire,1919,0,1,33,7
Le Populaire,1919,2,1,38,8
Le Populaire,1919,0,3,32,7
Le Populaire,1919,0,3,35,10
Le Populaire,1919,0,0,35,3
Le Populaire,1919,1,0,33,3
Le Populaire,1919,1,2,43,12
Le Populaire,1919,0,0,47,15
Le Populaire,1919,1,8,42,20
Le Populaire,1919,3,1,58,11
Le Populaire,1919,1,0,37,9
Le Populaire,1919,0,1,57,26
Le Populaire,1919,1,0,27,6
Le Populaire,1919,0,1,65,20
Le Populaire,1919,1,0,50,8
Le Populaire,1919,1,2,39,5
Le Populaire,1919,0,0,45,18
Le Populaire,1919,0,0,43,8
Le Populaire,1919,0,2,68,23
Le Populaire,1919,0,5,62,6
Le Populaire,1919,0,1,37,8
Le Populaire,1919,0,0,32,12
Le Populaire,1919,0,0,31,6
Le Populaire,1919,0,0,48,8
Le Populaire,1919,0,2,65,7
Le Populaire,1919,0,0,33,2
Le Populaire,1919,2,1,41,10
Le Populaire,1919,1,5,58,52
Le Populaire,1919,0,1,37,7
Le Populaire,1919,2,0,25,3
Le Populaire,1919,0,0,46,26
Le Populaire,1919,0,3,37,2
Le Populaire,1919,0,1,58,14
Le Populaire,1919,0,1,42,16
Le Populaire,1919,3,0,38,3
Le Populaire,1919,0,0,37,5
Le Populaire,1919,1,0,29,10
Le Populaire,1919,0,4,32,2
Le Populaire,1919,2,2,48,46
Le Populaire,1919,0,2,52,8
Le Populaire,1919,3,5,66,24
Le Populaire,1919,1,0,52,5
Le Populaire,1919,2,5,60,6
Le Populaire,1919,1,2,52,6
Le Populaire,1919,1,1,43,10
Le Populaire,1919,0,4,58,25
Le Populaire,1919,6,0,82,33
Le Populaire,1919,0,1,32,7
Le Populaire,1919,0,1,38,8
Le Populaire,1919,0,6,48,8
Le Populaire,1919,2,3,75,19
Le Populaire,1919,0,6,39,11
Le Populaire,1919,0,0,37,6
Le Populaire,1919,1,1,55,4
Le Populaire,1919,0,1,37,12
Le Populaire,1919,1,1,40,16
Le Populaire,1919,0,1,41,2
Le Populaire,1919,5,3,47,8
Le Populaire,1919,1,0,43,10
Le Populaire,1919,2,1,68,17
Le Populaire,1919,0,1,41,1
Le Populaire,1919,0,1,51,13
Le Populaire,1919,1,3,30,7
Le Populaire,1919,1,0,49,30
Le Populaire,1919,0,0,37,2
Le Populaire,1919,1,1,29,7
Le Populaire,1919,0,5,47,11
Le Populaire,1919,0,0,36,7
Le Populaire,1919,1,0,51,19
Le Populaire,1919,0,0,47,7
Le Populaire,1919,1,0,66,14
Le Populaire,1919,1,1,44,7
Le Populaire,1919,0,0,28,3
Le Populaire,1919,0,0,28,1
Le Populaire,1919,0,3,51,16
Le Populaire,1919,1,0,52,6
Le Populaire,1919,0,1,40,8
Le Populaire,1919,3,2,42,14
Le Populaire,1919,0,2,44,10
Le Populaire,1919,1,3,38,7
Le Populaire,1919,1,3,49,13
Le Populaire,1919,1,0,47,13
Le Populaire,1919,0,3,35,7
Le Populaire,1919,1,0,27,4
Le Populaire,1919,1,0,52,9
Le Populaire,1919,1,3,52,16
Le Populaire,1919,0,0,35,9
Le Populaire,1919,0,2,41,13
Le Populaire,1919,0,0,35,4
Le Populaire,1919,0,0,37,12
Le Populaire,1919,0,1,32,13
Le Populaire,1919,0,0,45,2
Le Populaire,1919,0,3,45,5
Le Populaire,1919,0,3,43,12
Le Populaire,1919,3,2,40,21
Le Populaire,1919,0,1,30,7
Le Populaire,1919,0,0,53,3
Le Populaire,1919,0,0,33,2
Le Populaire,1919,0,3,45,13
Le Populaire,1919,2,1,62,14
Le Populaire,1919,0,0,28,5
Le Populaire,1919,0,3,29,2
Le Populaire,1919,1,2,29,6
Le Populaire,1919,1,3,38,8
Le Populaire,1919,5,1,54,3
Le Populaire,1919,2,0,44,8
Le Populaire,1919,1,3,45,17
Le Populaire,1919,0,0,41,10
Le Populaire,1919,0,3,36,3
Le Populaire,1919,0,1,44,5
Le Populaire,1919,0,5,36,4
Le Populaire,1919,2,0,40,5
Le Populaire,1919,1,0,33,20
Le Populaire,1919,1,1,31,10
Le Populaire,1919,0,1,46,4
Le Populaire,1919,0,7,37,7
Le Populaire,1919,1,1,50,13
Le Populaire,1919,0,4,35,12
Le Populaire,1919,2,2,47,7
Le Populaire,1919,0,3,50,19
Le Populaire,1919,2,1,61,19
Le Populaire,1919,0,0,40,10
Le Populaire,1919,0,0,38,9
Le Populaire,1919,0,0,47,12
Le Populaire,1919,0,0,34,10
Le Populaire,1919,1,2,72,17
Le Populaire,1919,1,6,38,21
Le Populaire,1919,1,10,75,11
Le Populaire,1919,0,1,37,5
Le Populaire,1919,0,1,34,9
Le Populaire,1919,0,3,56,11
Le Populaire,1919,0,0,34,18
Le Populaire,1919,0,3,52,14
Le Populaire,1919,0,1,46,10
Le Populaire,1919,3,0,42,11
Le Populaire,1919,0,1,39,8
Le Populaire,1919,0,1,52,6
Le Populaire,1919,1,0,67,29
Le Populaire,1919,1,4,59,12
Le Populaire,1919,0,0,31,4
Le Populaire,1919,1,0,39,12
Le Populaire,1919,0,0,48,9
Le Populaire,1919,2,4,60,26
